"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Justin Fields","KC","1.2","0.7","3.9","0.0","0.0","0.3","0.6","0.0","0.0","0.3"
"Marcus Mariota","WAS","1.4","0.8","4.7","0.0","0.0","0.2","0.3","0.0","0.0","0.3"
"Jameis Winston","NYG","1.3","0.8","4.9","0.0","0.0","0.2","0.0","0.0","0.0","0.3"
"Sam Howell","DAL","1.3","0.8","4.3","0.0","0.0","0.5","0.1","0.0","0.0","0.3"
"Tyler Huntley","BAL","1.2","0.8","3.9","0.0","0.0","0.2","0.3","0.0","0.0","0.3"
"Quinn Ewers","MIA","1.3","0.8","4.6","0.0","0.0","0.2","0.1","0.0","0.0","0.2"
"Tommy DeVito","NE","1.4","0.9","4.2","0.0","0.0","0.3","0.2","0.0","0.0","0.2"
"Mason Rudolph","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Carson Beck","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Johnson","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Stetson Bennett IV","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Aidan O'Connell","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joe Milton III","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Will Howard","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brady Cook","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
