"Player","Team","TACKLE","ASSIST","SACK","PD","INT","FF","FR","TD","FPTS"
"Trent McDuffie","LAR","3.6","1.0","0.1","0.6","0.1","0.1","0.0","0.0","8.3"
"Quinyon Mitchell","PHI","3.2","0.9","0.0","1.1","0.1","0.1","0.0","0.0","8.3"
"Calen Bullock","HOU","3.4","1.3","0.0","0.6","0.2","0.1","0.0","0.0","8.3"
"Mike Jackson Sr.","CAR","3.5","0.9","0.0","1.0","0.2","0.0","0.0","0.0","8.3"
"Quentin Lake","LAR","3.7","1.0","0.1","0.7","0.1","0.0","0.0","0.0","8.2"
"Antonio Johnson","JAC","3.8","1.3","0.1","0.4","0.1","0.0","0.0","0.0","8.1"
"Jalen Ramsey","PIT","3.7","1.3","0.1","0.4","0.1","0.0","0.0","0.0","8.0"
"D.J. Reed Jr.","DET","3.8","0.8","0.0","0.7","0.1","0.1","0.0","0.0","8.0"
"Kamren Kinchens","LAR","3.6","1.5","0.0","0.3","0.1","0.0","0.0","0.0","8.0"
"Christian Gonzalez","NE","3.5","0.8","0.0","0.8","0.1","0.0","0.0","0.0","8.0"
"Marlon Humphrey","BAL","3.2","0.9","0.1","0.8","0.1","0.1","0.1","0.0","7.9"
"Marcus Harris","TEN","3.4","0.9","0.0","0.7","0.1","0.1","0.0","0.0","7.9"
"Jevon Holland","NYG","3.6","1.5","0.0","0.3","0.1","0.0","0.0","0.0","7.9"
"Eric Murray","JAC","3.4","1.6","0.1","0.4","0.1","0.1","0.0","0.0","7.9"
"Chuck Clark","DET","3.7","1.6","0.0","0.3","0.0","0.1","0.0","0.0","7.8"
"Byron Murphy Jr.","MIN","3.5","1.1","0.0","0.5","0.1","0.0","0.0","0.0","7.8"
"Andrew Mukuba","PHI","3.6","1.7","0.0","0.3","0.1","0.0","0.0","0.0","7.8"
"Ty Okada","SEA","3.7","1.5","0.0","0.4","0.0","0.0","0.0","0.0","7.8"
"Elijah Molden","LAC","4.1","1.5","0.0","0.1","0.0","0.0","0.0","0.0","7.8"
"Marcus Jones","NE","3.0","0.8","0.1","0.6","0.1","0.1","0.1","0.0","7.7"
"Upton Stout","SF","3.3","1.6","0.1","0.4","0.1","0.1","0.0","0.0","7.5"
