"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Adonai Mitchell","NYJ","2.2","34.2","0.2","0.1","0.4","0.0","0.0","5.8"
"De'Zhaun Stribling","SF","2.4","32.2","0.2","0.1","0.4","0.0","0.0","5.6"
"Cooper Kupp","SEA","2.4","30.7","0.2","0.0","0.2","0.0","0.0","5.5"
"Kayshon Boutte","HOU","2.1","30.6","0.2","0.0","0.0","0.0","0.0","5.3"
"Ryan Flournoy","DAL","2.3","28.3","0.2","0.2","0.9","0.0","0.0","5.2"
"Tank Dell","HOU","2.2","27.9","0.2","0.3","1.6","0.0","0.0","5.2"
"Caleb Douglas","MIA","2.3","30.2","0.2","0.0","0.0","0.0","0.0","5.2"
"Tre' Harris","LAC","2.2","27.8","0.2","0.1","0.3","0.0","0.0","5.0"
"Pat Bryant","DEN","2.3","27.5","0.2","0.0","0.2","0.0","0.0","4.8"
"Germie Bernard","PIT","2.0","25.6","0.2","0.1","0.5","0.0","0.0","4.6"
"Jaylin Noel","HOU","2.0","23.7","0.2","0.2","0.8","0.0","0.0","4.5"
"Malachi Fields","NYG","1.9","23.4","0.2","0.0","0.1","0.0","0.0","4.3"
"Ja'Kobi Lane","BAL","1.6","23.4","0.2","0.0","0.0","0.0","0.0","4.2"
"Travis Hunter","JAC","1.8","22.0","0.1","0.1","0.6","0.0","0.0","4.0"
"Jahan Dotson","ATL","1.8","23.3","0.1","0.0","0.0","0.0","0.0","4.0"
"Andrei Iosivas","CIN","1.5","20.2","0.2","0.1","0.7","0.0","0.0","3.9"
"Darnell Mooney","NYG","1.5","22.9","0.1","0.1","0.4","0.0","0.0","3.8"
"Tyquan Thornton","KC","1.3","21.7","0.1","0.0","0.0","0.0","0.0","3.7"
"Jack Bech","LV","1.7","20.6","0.1","0.0","0.1","0.0","0.0","3.6"
"Isaac TeSlaa","DET","1.3","18.0","0.2","0.0","0.1","0.0","0.0","3.5"
"DeMario Douglas","NE","1.6","19.5","0.1","0.3","1.4","0.0","0.0","3.5"
"Xavier Legette","CAR","1.6","18.7","0.1","0.1","0.3","0.0","0.0","3.5"
"Jalen Tolbert","MIA","1.6","20.0","0.1","0.0","0.0","0.0","0.0","3.4"
"Keon Coleman","BUF","1.4","19.0","0.1","0.0","0.1","0.0","0.0","3.4"
"Omar Cooper Jr.","NYJ","1.4","18.9","0.1","0.1","0.6","0.0","0.0","3.3"
"Darius Slayton","NYG","1.4","19.9","0.1","0.0","0.3","0.0","0.0","3.3"
