"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Kaelon Black","SF","3.1","12.8","0.1","0.4","3.2","0.0","0.0","2.4"
"Najee Harris","NYG","2.7","10.8","0.1","0.5","3.6","0.0","0.0","2.3"
"Ollie Gordon II","MIA","2.7","9.9","0.1","0.5","3.0","0.0","0.0","2.2"
"Alvin Kamara","NO","2.6","9.9","0.1","0.6","4.0","0.0","0.0","2.1"
"Emari Demercado","KC","1.9","9.6","0.0","0.7","4.8","0.0","0.0","2.1"
"LeQuint Allen Jr.","JAC","0.8","3.5","0.0","1.1","7.1","0.1","0.0","2.1"
"Kimani Vidal","LAC","2.3","9.9","0.1","0.4","3.3","0.0","0.0","2.0"
"Emanuel Wilson","SEA","2.5","10.4","0.1","0.3","2.0","0.0","0.0","2.0"
"Nicholas Singleton","TEN","2.0","8.4","0.1","0.5","3.5","0.0","0.0","1.9"
"Jordan James","SF","2.2","9.0","0.1","0.3","2.4","0.0","0.0","1.8"
"Demond Claiborne","MIN","1.4","5.8","0.1","0.6","4.2","0.0","0.0","1.7"
"Kyle Juszczyk","SF","0.2","0.6","0.0","1.0","7.9","0.1","0.0","1.7"
"James Conner","ARI","1.6","6.7","0.1","0.5","3.3","0.0","0.0","1.7"
"DJ Giddens","IND","1.7","6.6","0.1","0.5","3.3","0.0","0.0","1.7"
"Tahj Brooks","CIN","2.0","7.4","0.1","0.3","2.2","0.0","0.0","1.7"
"Chris Brooks","GB","1.3","5.7","0.0","0.7","4.3","0.0","0.0","1.6"
"Seth McGowan","IND","1.4","5.8","0.1","0.4","2.8","0.0","0.0","1.4"
"Hunter Luepke","DAL","0.9","3.8","0.0","0.6","4.2","0.0","0.0","1.3"
"Malik Davis","DAL","1.3","6.3","0.1","0.2","1.4","0.0","0.0","1.3"
"Kaytron Allen","WAS","1.5","6.1","0.1","0.2","1.9","0.0","0.0","1.3"
"Eli Heidenreich","PIT","0.7","3.1","0.0","0.5","5.9","0.0","0.0","1.2"
"Will Shipley","PHI","0.8","2.9","0.0","0.5","3.8","0.0","0.0","1.1"
"Trevor Etienne","CAR","1.2","5.6","0.0","0.3","2.0","0.0","0.0","1.1"
"Phil Mafah","DAL","1.3","5.6","0.0","0.2","1.3","0.0","0.0","1.0"
"Adam Randall","BAL","1.1","4.7","0.0","0.2","1.9","0.0","0.0","0.9"
"Audric Estime","NO","0.9","3.8","0.0","0.2","1.7","0.0","0.0","0.8"
"Ty Chandler","NO","0.4","1.4","0.0","0.4","2.6","0.0","0.0","0.8"
"Jaleel McLaughlin","DEN","0.7","3.2","0.0","0.2","1.3","0.0","0.0","0.7"
"Alec Ingold","LAC","0.5","1.7","0.0","0.3","2.1","0.0","0.0","0.6"
"Jawhar Jordan","HOU","0.9","4.1","0.0","0.1","0.6","0.0","0.0","0.6"
"Brashard Smith","KC","0.6","2.3","0.0","0.3","2.0","0.0","0.0","0.6"
"Devin Singletary","NYG","0.8","3.3","0.0","0.1","1.0","0.0","0.0","0.6"
"Rasheen Ali","BAL","0.6","2.3","0.0","0.1","0.7","0.0","0.0","0.6"
"Travis Homer","PIT","1.2","4.6","0.0","0.1","0.4","0.0","0.0","0.6"
"Jam Miller","NE","0.8","3.2","0.0","0.1","0.9","0.0","0.0","0.5"
"Jeremy McNichols","WAS","0.7","2.9","0.0","0.1","1.0","0.0","0.0","0.5"
"Adam Prentice","DEN","0.2","1.0","0.0","0.3","1.7","0.0","0.0","0.5"
"Michael Burton","CLE","0.2","1.0","0.0","0.3","1.6","0.0","0.0","0.5"
"Tyler Goodson","ATL","0.7","2.8","0.0","0.2","0.8","0.0","0.0","0.5"
"Pierre Strong Jr.","GB","1.0","3.8","0.0","0.1","0.5","0.0","0.0","0.5"
"Robert Henry Jr.","WAS","0.0","0.0","0.0","0.3","3.3","0.0","0.0","0.5"
"Connor Heyward","LV","0.3","1.2","0.0","0.2","1.8","0.0","0.0","0.5"
"Raheim Sanders","CLE","0.7","2.9","0.0","0.1","1.0","0.0","0.0","0.5"
"J'Mari Taylor","JAC","0.3","1.2","0.0","0.2","1.6","0.0","0.0","0.4"
"Tyler Badie","DEN","0.2","0.7","0.0","0.2","1.6","0.0","0.0","0.4"
"Riley Nowakowski","PIT","0.0","0.0","0.0","0.3","2.0","0.0","0.0","0.4"
"Roschon Johnson","CHI","0.6","2.4","0.0","0.1","0.4","0.0","0.0","0.4"
"Kaleb Johnson","PIT","0.5","2.0","0.0","0.1","0.6","0.0","0.0","0.4"
"Dylan Laube","LV","0.3","0.8","0.0","0.2","1.3","0.0","0.0","0.4"
"Andrew Beck","NYJ","0.0","0.0","0.0","0.2","1.7","0.0","0.0","0.4"
"Sione Vaki","DET","0.4","1.6","0.0","0.1","1.0","0.0","0.0","0.3"
"Reggie Gilliam","NE","0.0","0.0","0.0","0.2","1.6","0.0","0.0","0.3"
"Lan Larison","NE","0.3","1.5","0.0","0.1","0.7","0.0","0.0","0.3"
"Roman Hemby","LV","0.0","0.0","0.0","0.2","2.2","0.0","0.0","0.3"
"Jerome Ford","WAS","0.5","1.9","0.0","0.1","0.4","0.0","0.0","0.3"
"Terion Stewart","KC","0.0","0.0","0.0","0.2","1.6","0.0","0.0","0.3"
"Max Bredeson","MIN","0.1","0.3","0.0","0.2","1.1","0.0","0.0","0.3"
"Michael Carter","TEN","0.2","0.8","0.0","0.1","0.9","0.0","0.0","0.2"
"Ameer Abdullah","JAC","0.1","0.6","0.0","0.1","0.5","0.0","0.0","0.2"
"Jamal Haynes","CIN","0.3","1.1","0.0","0.0","0.4","0.0","0.0","0.2"
"Dameon Pierce","PHI","0.3","1.3","0.0","0.0","0.2","0.0","0.0","0.2"
"Jarquez Hunter","LAR","0.3","1.4","0.0","0.1","0.2","0.0","0.0","0.2"
"Kalel Mullings","TEN","0.2","0.7","0.0","0.1","0.5","0.0","0.0","0.2"
"Patrick Ricard","NYG","0.0","0.0","0.0","0.1","0.9","0.0","0.0","0.2"
"Julius Chestnut","TEN","0.2","0.8","0.0","0.0","0.4","0.0","0.0","0.2"
"Ronnie Rivers","LAR","0.3","1.1","0.0","0.0","0.2","0.0","0.0","0.2"
"British Brooks","HOU","0.3","1.1","0.0","0.0","0.0","0.0","0.0","0.2"
"Devin Neal","NO","0.2","0.6","0.0","0.1","0.6","0.0","0.0","0.2"
"Jacardia Wright","SEA","0.3","1.0","0.0","0.0","0.2","0.0","0.0","0.2"
"Isaac Guerendo","SF","0.2","0.9","0.0","0.1","0.5","0.0","0.0","0.2"
"Damien Martinez","GB","0.1","0.6","0.0","0.1","0.4","0.0","0.0","0.2"
"AJ Dillon","CAR","0.1","0.4","0.0","0.1","0.5","0.0","0.0","0.1"
"Noah Whittington","HOU","0.0","0.0","0.0","0.1","0.9","0.0","0.0","0.1"
"Dean Connors","LAR","0.1","0.5","0.0","0.0","0.3","0.0","0.0","0.1"
"Bam Knight","ARI","0.0","0.0","0.0","0.1","0.6","0.0","0.0","0.1"
"Frank Gore Jr.","BUF","0.2","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Zamir White","NO","0.2","0.9","0.0","0.0","0.0","0.0","0.0","0.1"
"Scott Matlock","LAC","0.0","0.0","0.0","0.1","0.4","0.0","0.0","0.1"
"DeeJay Dallas","JAC","0.1","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
"Kene Nwangwu","NYJ","0.1","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Jaydn Ott","KC","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.1"
"Zavier Scott","MIN","0.1","0.2","0.0","0.0","0.1","0.0","0.0","0.0"
"Jacob Saylors","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Collier","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Williams","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
