"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Tony Pollard","TEN","RB29","12.2","53.8","0.3","1.7","11.0","0.1","0.1","9.5"
"Carnell Tate","TEN","WR31","0.0","0.2","0.0","4.0","56.4","0.3","0.0","9.5"
"Rhamondre Stevenson","NE","RB30","10.4","43.4","0.3","2.1","15.5","0.1","0.1","9.4"
"Jayden Reed","GB","WR32","0.7","4.8","0.0","4.0","47.7","0.3","0.0","9.2"
"Josh Downs","IND","WR33","0.2","0.6","0.0","4.5","48.7","0.3","0.0","9.0"
"Parker Washington","JAC","WR34","0.5","1.9","0.0","3.6","50.9","0.3","0.0","9.0"
"Sam LaPorta","DET","TE5","0.0","0.2","0.0","4.4","46.8","0.3","0.0","8.9"
"Michael Pittman Jr.","PIT","WR35","0.0","0.1","0.0","4.5","49.2","0.3","0.0","8.9"
"Quentin Johnston","LAC","WR36","0.2","0.8","0.0","3.2","47.5","0.4","0.0","8.9"
"TreVeyon Henderson","NE","RB31","9.3","41.1","0.3","2.1","12.8","0.1","0.0","8.8"
"Courtland Sutton","DEN","WR37","0.0","0.0","0.0","3.7","49.7","0.3","0.0","8.8"
"Alec Pierce","IND","WR38","0.0","0.1","0.0","3.1","53.0","0.3","0.0","8.8"
"Harold Fannin Jr.","CLE","TE6","0.3","0.9","0.0","4.6","46.4","0.3","0.0","8.7"
"Marvin Harrison Jr.","ARI","WR39","0.0","0.0","0.0","3.5","51.9","0.3","0.0","8.7"
"Tucker Kraft","GB","TE7","0.1","0.1","0.0","3.9","47.3","0.3","0.0","8.6"
"Kyle Monangai","CHI","RB32","9.7","44.4","0.3","1.3","10.9","0.1","0.0","8.6"
"Kenny Gainwell","TB","RB33","6.7","30.3","0.3","2.8","18.8","0.1","0.0","8.6"
"Blake Corum","LAR","RB34","10.4","48.4","0.4","0.9","5.5","0.1","0.0","8.5"
"Jordan Addison","MIN","WR40","0.2","1.6","0.0","3.4","46.2","0.3","0.0","8.5"
"Michael Wilson","ARI","WR41","0.0","0.1","0.0","3.8","49.8","0.3","0.0","8.5"
"Jalen Coker","CAR","WR42","0.0","0.2","0.0","3.9","48.7","0.3","0.0","8.5"
"Kyle Pitts Sr.","ATL","TE8","0.0","0.0","0.0","4.4","48.7","0.2","0.0","8.5"
"Brian Thomas Jr.","JAC","WR43","0.2","1.2","0.0","3.2","48.2","0.3","0.0","8.4"
"Mark Andrews","BAL","TE9","0.4","1.7","0.0","3.7","38.9","0.4","0.0","8.4"
"Jonathon Brooks","CAR","RB35","9.3","40.1","0.3","1.8","13.0","0.1","0.0","8.3"
"Chris Godwin Jr.","TB","WR44","0.0","0.2","0.0","3.9","46.1","0.3","0.0","8.3"
"Dallas Goedert","PHI","TE10","0.0","0.0","0.0","3.8","40.2","0.4","0.0","8.2"
"Travis Kelce","KC","TE11","0.0","0.0","0.0","4.2","43.8","0.3","0.0","8.1"
"RJ Harvey","DEN","RB36","6.5","25.3","0.3","2.7","19.4","0.1","0.0","8.1"
"Jordan Mason","MIN","RB37","10.3","48.9","0.3","0.9","5.5","0.0","0.0","8.0"
"Matthew Golden","GB","WR45","0.6","2.5","0.0","3.5","45.5","0.2","0.0","8.0"
"Aaron Jones Sr.","MIN","RB38","8.4","36.5","0.2","2.1","15.0","0.1","0.0","8.0"
"Stefon Diggs","WAS","WR46","0.1","0.2","0.0","4.1","44.7","0.3","0.0","8.0"
"Wan'Dale Robinson","TEN","WR47","0.2","1.1","0.0","4.2","46.1","0.2","0.0","8.0"
"Jakobi Meyers","JAC","WR48","0.3","1.5","0.0","3.6","42.8","0.3","0.0","7.9"
"Khalil Shakir","BUF","WR49","0.1","0.5","0.0","4.1","45.5","0.2","0.0","7.9"
"Rachaad White","WAS","RB39","7.5","31.2","0.2","2.6","15.8","0.1","0.0","7.8"
"J.K. Dobbins","DEN","RB40","9.8","45.3","0.3","1.1","6.0","0.0","0.0","7.7"
"Jacory Croskey-Merritt","WAS","RB41","9.6","41.3","0.3","1.0","8.3","0.0","0.0","7.7"
"Xavier Worthy","KC","WR50","0.9","5.0","0.0","2.9","40.5","0.2","0.0","7.6"
"Isaiah Likely","NYG","TE12","0.0","0.0","0.0","3.8","40.2","0.3","0.0","7.5"
"Romeo Doubs","NE","WR51","0.0","0.0","0.0","3.3","41.9","0.3","0.0","7.5"
"Deebo Samuel Sr.","SF","WR52","1.0","4.5","0.0","3.1","40.0","0.2","0.0","7.5"
"Jake Ferguson","DAL","TE13","0.0","0.1","0.0","4.2","34.6","0.3","0.0","7.4"
"Tre Tucker","LV","WR53","0.6","3.0","0.0","3.0","40.5","0.2","0.0","7.3"
"KC Concepcion","CLE","WR54","0.4","2.1","0.0","3.3","40.8","0.2","0.0","7.3"
"Juwan Johnson","NO","TE14","0.0","0.0","0.0","3.9","40.5","0.2","0.0","7.1"
"Hunter Henry","NE","TE15","0.0","0.0","0.0","3.4","36.9","0.3","0.0","7.0"
"Dalton Kincaid","BUF","TE16","0.0","0.0","0.0","3.4","38.9","0.2","0.0","7.0"
"Tyjae Spears","TEN","RB42","6.0","24.6","0.2","2.5","16.3","0.1","0.0","7.0"
"Rashid Shaheed","SEA","WR55","0.7","4.1","0.0","2.7","37.8","0.2","0.0","6.9"
"Woody Marks","HOU","RB43","7.8","31.9","0.2","1.4","11.3","0.1","0.0","6.7"
"Dalton Schultz","HOU","TE17","0.0","0.0","0.0","3.6","35.8","0.2","0.0","6.7"
"Jalen Nailor","LV","WR56","0.2","0.8","0.0","2.6","38.2","0.2","0.0","6.6"
"Devaughn Vele","NO","WR57","0.0","0.1","0.0","3.2","37.2","0.2","0.0","6.6"
"T.J. Hockenson","MIN","TE18","0.0","0.0","0.0","4.0","34.5","0.2","0.0","6.5"
"Makai Lemon","PHI","WR58","0.0","0.2","0.0","2.6","36.3","0.2","0.0","6.4"
"Brenton Strange","JAC","TE19","0.0","0.0","0.0","3.2","34.3","0.2","0.0","6.3"
"Chris Rodriguez Jr.","JAC","RB44","8.3","37.2","0.3","0.4","3.2","0.0","0.0","6.1"
"Keaton Mitchell","LAC","RB45","5.9","30.6","0.2","1.2","9.3","0.1","0.0","6.1"
"AJ Barner","SEA","TE20","0.5","1.9","0.0","3.1","29.1","0.2","0.0","6.1"
"Jalen McMillan","TB","WR59","0.2","0.9","0.0","2.5","32.8","0.2","0.0","6.1"
