"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Mack Hollins","NE","WR126","0.0","0.1","0.0","0.8","9.3","0.1","0.0","1.7"
"James Conner","ARI","RB80","1.6","6.7","0.1","0.5","3.3","0.0","0.0","1.7"
"Adam Trautman","DEN","TE59","0.0","0.0","0.0","0.8","8.3","0.1","0.0","1.7"
"Ja'Tavion Sanders","CAR","TE60","0.0","0.0","0.0","1.0","8.0","0.1","0.0","1.7"
"DJ Giddens","IND","RB81","1.7","6.6","0.1","0.5","3.3","0.0","0.0","1.7"
"Demarcus Robinson","SF","WR127","0.0","0.0","0.0","0.6","9.0","0.1","0.0","1.7"
"John Bates","WAS","TE61","0.0","0.0","0.0","0.8","8.1","0.1","0.0","1.7"
"Nick Westbrook-Ikhine","IND","WR128","0.0","0.0","0.0","0.7","8.2","0.1","0.0","1.7"
"Tahj Brooks","CIN","RB82","2.0","7.4","0.1","0.3","2.2","0.0","0.0","1.7"
"Brock Wright","DET","TE62","0.0","0.0","0.0","0.8","7.7","0.1","0.0","1.6"
"Oscar Delp","NO","TE63","0.0","0.0","0.0","0.9","8.2","0.1","0.0","1.6"
"Ashton Dulin","IND","WR129","0.1","0.8","0.0","0.6","8.6","0.1","0.0","1.6"
"Chris Brooks","GB","RB83","1.3","5.7","0.0","0.7","4.3","0.0","0.0","1.6"
"Calvin Austin III","NYG","WR130","0.0","0.2","0.0","0.7","9.2","0.1","0.0","1.6"
"Brenen Thompson","LAC","WR131","0.0","0.3","0.0","0.6","8.4","0.1","0.0","1.6"
"Jackson Hawes","BUF","TE64","0.0","0.0","0.0","0.8","7.9","0.1","0.0","1.6"
"Marlin Klein","HOU","TE65","0.0","0.0","0.0","0.8","7.4","0.1","0.0","1.6"
"Jimmy Horn Jr.","CAR","WR132","0.4","2.3","0.0","0.6","6.3","0.1","0.0","1.5"
"Elijah Sarratt","BAL","WR133","0.0","0.0","0.0","0.6","8.5","0.1","0.0","1.5"
"Seth McGowan","IND","RB84","1.4","5.8","0.1","0.4","2.8","0.0","0.0","1.4"
"Jaylin Lane","WAS","WR134","0.1","0.5","0.0","0.6","8.2","0.0","0.0","1.4"
"Jalen Reagor","MIA","WR135","0.0","0.0","0.0","0.6","7.6","0.1","0.0","1.4"
"Jahdae Walker","CHI","WR136","0.0","0.0","0.0","0.6","7.3","0.1","0.0","1.4"
"Dyami Brown","WAS","WR137","0.1","0.4","0.0","0.6","8.1","0.0","0.0","1.4"
"Cade Stover","HOU","TE66","0.2","0.5","0.0","0.8","7.0","0.0","0.0","1.4"
"Justin Watson","HOU","WR138","0.0","0.0","0.0","0.5","6.7","0.1","0.0","1.3"
"Mo Alie-Cox","IND","TE67","0.0","0.0","0.0","0.6","6.4","0.1","0.0","1.3"
"Malik Benson","LV","WR139","0.0","0.0","0.0","0.6","8.4","0.0","0.0","1.3"
"Hunter Luepke","DAL","RB85","0.9","3.8","0.0","0.6","4.2","0.0","0.0","1.3"
"Konata Mumpfield","LAR","WR140","0.0","0.0","0.0","0.5","6.2","0.1","0.0","1.3"
"Ben Sinnott","WAS","TE68","0.0","0.1","0.0","0.6","5.9","0.1","0.0","1.3"
"Malik Davis","DAL","RB86","1.3","6.3","0.1","0.2","1.4","0.0","0.0","1.3"
"Kaytron Allen","WAS","RB87","1.5","6.1","0.1","0.2","1.9","0.0","0.0","1.3"
"Lil'Jordan Humphrey","DEN","WR141","0.0","0.0","0.0","0.6","7.4","0.0","0.0","1.3"
"Chris Bell","MIA","WR142","0.0","0.0","0.0","0.6","6.6","0.1","0.0","1.3"
"Joe Royer","CLE","TE69","0.0","0.0","0.0","0.7","7.0","0.0","0.0","1.2"
"Matt Hibner","BAL","TE70","0.0","0.0","0.0","0.7","7.1","0.0","0.0","1.2"
"Barion Brown","NO","WR143","0.0","0.0","0.0","0.6","7.4","0.0","0.0","1.2"
"Skyler Bell","BUF","WR144","0.0","0.1","0.0","0.6","7.3","0.0","0.0","1.2"
"Luke Schoonmaker","DAL","TE71","0.0","0.0","0.0","0.7","6.6","0.0","0.0","1.2"
"Eli Heidenreich","PIT","RB88","0.7","3.1","0.0","0.5","5.9","0.0","0.0","1.2"
"Tanner Hudson","CIN","TE72","0.0","0.0","0.0","0.6","5.0","0.1","0.0","1.1"
"CJ Daniels","LAR","WR145","0.0","0.1","0.0","0.5","6.5","0.0","0.0","1.1"
"Christian Kirk","SF","WR146","0.0","0.1","0.0","0.6","7.1","0.0","0.0","1.1"
"Will Shipley","PHI","RB89","0.8","2.9","0.0","0.5","3.8","0.0","0.0","1.1"
"Trevor Etienne","CAR","RB90","1.2","5.6","0.0","0.3","2.0","0.0","0.0","1.1"
"Jordan Whittington","LAR","WR147","0.1","0.5","0.0","0.5","5.8","0.0","0.0","1.0"
"Phil Mafah","DAL","RB91","1.3","5.6","0.0","0.2","1.3","0.0","0.0","1.0"
"Tai Felton","MIN","WR148","0.0","0.1","0.0","0.6","6.0","0.0","0.0","1.0"
"Kyle Williams","NE","WR149","0.1","0.6","0.0","0.4","5.1","0.0","0.0","1.0"
"Thomas Fidone II","NYG","TE73","0.0","0.0","0.0","0.7","6.6","0.0","0.0","1.0"
"Bo Melton","GB","WR150","0.2","0.8","0.0","0.4","5.3","0.0","0.0","1.0"
"Jalen Royals","KC","WR151","0.0","0.1","0.0","0.5","5.6","0.0","0.0","1.0"
"Michael Trigg","DAL","TE74","0.0","0.0","0.0","0.5","5.7","0.0","0.0","1.0"
"Sam Roush","CHI","TE75","0.0","0.0","0.0","0.6","5.4","0.0","0.0","1.0"
"Max Klare","LAR","TE76","0.0","0.0","0.0","0.5","5.4","0.0","0.0","1.0"
"Ben Skowronek","PIT","WR152","0.0","0.0","0.0","0.4","4.5","0.1","0.0","1.0"
"Nate Boerkircher","JAC","TE77","0.0","0.0","0.0","0.6","5.3","0.0","0.0","0.9"
"Deion Burks","IND","WR153","0.0","0.0","0.0","0.5","5.7","0.0","0.0","0.9"
"Durham Smythe","BAL","TE78","0.0","0.0","0.0","0.5","5.2","0.0","0.0","0.9"
"Adam Randall","BAL","RB92","1.1","4.7","0.0","0.2","1.9","0.0","0.0","0.9"
"Odell Beckham Jr.","NYG","WR154","0.0","0.0","0.0","0.4","5.2","0.0","0.0","0.8"
"Luke McCaffrey","WAS","WR155","0.0","0.0","0.0","0.5","5.5","0.0","0.0","0.8"
"Jeremy Ruckert","NYJ","TE79","0.0","0.0","0.0","0.5","4.3","0.0","0.0","0.8"
"Brevyn Spann-Ford","DAL","TE80","0.0","0.0","0.0","0.5","4.6","0.0","0.0","0.8"
"Audric Estime","NO","RB93","0.9","3.8","0.0","0.2","1.7","0.0","0.0","0.8"
"Ty Chandler","NO","RB94","0.4","1.4","0.0","0.4","2.6","0.0","0.0","0.8"
"KeAndre Lambert-Smith","LAC","WR156","0.0","0.1","0.0","0.4","4.4","0.0","0.0","0.8"
"Davis Allen","LAR","TE81","0.0","0.0","0.0","0.4","4.0","0.0","0.0","0.8"
"Grant Calcaterra","PHI","TE82","0.0","0.0","0.0","0.4","4.4","0.0","0.0","0.8"
"Foster Moreau","HOU","TE83","0.0","0.0","0.0","0.4","4.1","0.0","0.0","0.7"
"Tanner Koziol","JAC","TE84","0.0","0.0","0.0","0.4","4.1","0.0","0.0","0.7"
"Mitch Tinsley","CIN","WR157","0.0","0.0","0.0","0.3","4.4","0.0","0.0","0.7"
"Ben Sims","MIA","TE85","0.0","0.0","0.0","0.4","3.9","0.0","0.0","0.7"
"Cedric Tillman","CLE","WR158","0.0","0.0","0.0","0.4","4.2","0.0","0.0","0.7"
"Jaleel McLaughlin","DEN","RB95","0.7","3.2","0.0","0.2","1.3","0.0","0.0","0.7"
"Xavier Smith","LAR","WR159","0.0","0.2","0.0","0.3","4.0","0.0","0.0","0.7"
"Marquez Valdes-Scantling","DAL","WR160","0.0","0.2","0.0","0.3","4.2","0.0","0.0","0.7"
"Alec Ingold","LAC","RB96","0.5","1.7","0.0","0.3","2.1","0.0","0.0","0.6"
"Luke Farrell","SF","TE86","0.0","0.0","0.0","0.4","3.5","0.0","0.0","0.6"
"Jawhar Jordan","HOU","RB97","0.9","4.1","0.0","0.1","0.6","0.0","0.0","0.6"
"Brashard Smith","KC","RB98","0.6","2.3","0.0","0.3","2.0","0.0","0.0","0.6"
"Nate Adkins","DEN","TE87","0.0","0.0","0.0","0.4","3.1","0.0","0.0","0.6"
"Devin Singletary","NYG","RB99","0.8","3.3","0.0","0.1","1.0","0.0","0.0","0.6"
"Tip Reiman","ARI","TE88","0.0","0.0","0.0","0.4","3.2","0.0","0.0","0.6"
"Connor Heyward","LV","TE89","0.3","1.4","0.0","0.2","2.0","0.0","0.0","0.6"
"Josh Cameron","JAC","WR161","0.1","0.4","0.0","0.3","3.1","0.0","0.0","0.6"
"Jonathan Mingo","DAL","WR162","0.0","0.0","0.0","0.3","3.7","0.0","0.0","0.6"
"Dont'e Thornton Jr.","LV","WR163","0.0","0.0","0.0","0.3","3.8","0.0","0.0","0.6"
"Mitchell Evans","CAR","TE90","0.0","0.1","0.0","0.3","3.3","0.0","0.0","0.6"
"Rasheen Ali","BAL","RB100","0.6","2.3","0.0","0.1","0.7","0.0","0.0","0.6"
"Jack Endries","CIN","TE91","0.0","0.0","0.0","0.3","3.3","0.0","0.0","0.6"
"Tim Patrick","NYJ","WR164","0.0","0.0","0.0","0.3","3.7","0.0","0.0","0.6"
"Payne Durham","TB","TE92","0.0","0.0","0.0","0.3","2.9","0.0","0.0","0.6"
"Travis Homer","PIT","RB101","1.2","4.6","0.0","0.1","0.4","0.0","0.0","0.6"
"Jam Miller","NE","RB102","0.8","3.2","0.0","0.1","0.9","0.0","0.0","0.5"
"Seydou Traore","MIA","TE93","0.0","0.0","0.0","0.3","3.2","0.0","0.0","0.5"
"Jeremy McNichols","WAS","RB103","0.7","2.9","0.0","0.1","1.0","0.0","0.0","0.5"
"Josh Cuevas","BAL","TE94","0.0","0.0","0.0","0.3","2.9","0.0","0.0","0.5"
"Malachi Corley","CLE","WR165","0.4","2.5","0.0","0.1","1.4","0.0","0.0","0.5"
"Adam Prentice","DEN","RB104","0.2","1.0","0.0","0.3","1.7","0.0","0.0","0.5"
"Johnny Mundt","PHI","TE95","0.0","0.0","0.0","0.3","3.0","0.0","0.0","0.5"
"Michael Burton","CLE","RB105","0.2","1.0","0.0","0.3","1.6","0.0","0.0","0.5"
"Kevin Austin Jr.","NO","WR166","0.0","0.1","0.0","0.3","2.7","0.0","0.0","0.5"
"Tyler Goodson","ATL","RB106","0.7","2.8","0.0","0.2","0.8","0.0","0.0","0.5"
"Charlie Woerner","ATL","TE96","0.0","0.0","0.0","0.3","2.6","0.0","0.0","0.5"
"Robert Henry Jr.","WAS","RB107","0.0","0.0","0.0","0.3","3.3","0.0","0.0","0.5"
"Pierre Strong Jr.","GB","RB108","1.0","3.8","0.0","0.1","0.5","0.0","0.0","0.5"
"Josh Whyle","GB","TE97","0.0","0.0","0.0","0.3","2.7","0.0","0.0","0.5"
"Raheim Sanders","CLE","RB109","0.7","2.9","0.0","0.1","1.0","0.0","0.0","0.5"
"J'Mari Taylor","JAC","RB110","0.3","1.2","0.0","0.2","1.6","0.0","0.0","0.4"
"Drew Ogletree","IND","TE98","0.0","0.0","0.0","0.2","2.5","0.0","0.0","0.4"
"Tyler Badie","DEN","RB111","0.2","0.7","0.0","0.2","1.6","0.0","0.0","0.4"
"Eric Saubert","SEA","TE99","0.0","0.0","0.0","0.2","2.2","0.0","0.0","0.4"
"Lewis Bond","HOU","WR167","0.0","0.0","0.0","0.2","2.6","0.0","0.0","0.4"
"CJ Dippre","NE","TE100","0.0","0.0","0.0","0.2","2.1","0.0","0.0","0.4"
"Brycen Tremayne","CAR","WR168","0.0","0.0","0.0","0.2","2.2","0.0","0.0","0.4"
"Ian Thomas","LV","TE101","0.0","0.0","0.0","0.2","2.2","0.0","0.0","0.4"
"Kaden Wetjen","PIT","WR169","0.1","0.4","0.0","0.2","2.3","0.0","0.0","0.4"
"Roschon Johnson","CHI","RB112","0.6","2.4","0.0","0.1","0.4","0.0","0.0","0.4"
"Riley Nowakowski","PIT","TE102","0.0","0.0","0.0","0.3","2.0","0.0","0.0","0.4"
"Reggie Virgil","ARI","WR170","0.0","0.0","0.0","0.2","2.3","0.0","0.0","0.4"
"Jared Wiley","KC","TE103","0.0","0.0","0.0","0.2","2.6","0.0","0.0","0.4"
"Kaleb Johnson","PIT","RB113","0.5","2.0","0.0","0.1","0.6","0.0","0.0","0.4"
"Dylan Laube","LV","RB114","0.3","0.8","0.0","0.2","1.3","0.0","0.0","0.4"
"Andrew Beck","NYJ","TE104","0.0","0.0","0.0","0.2","1.7","0.0","0.0","0.4"
"Sione Vaki","DET","RB115","0.4","1.6","0.0","0.1","1.0","0.0","0.0","0.3"
"Darius Cooper","PHI","WR171","0.0","0.0","0.0","0.2","1.8","0.0","0.0","0.3"
"Jack Stoll","CLE","TE105","0.0","0.0","0.0","0.2","1.8","0.0","0.0","0.3"
"Reggie Gilliam","NE","RB116","0.0","0.0","0.0","0.2","1.6","0.0","0.0","0.3"
"Lan Larison","NE","RB117","0.3","1.5","0.0","0.1","0.7","0.0","0.0","0.3"
"Derius Davis","LAC","WR172","0.1","0.7","0.0","0.1","1.3","0.0","0.0","0.3"
"Roman Hemby","LV","RB118","0.0","0.0","0.0","0.2","2.2","0.0","0.0","0.3"
"Tyler Conklin","DET","TE106","0.0","0.0","0.0","0.2","1.7","0.0","0.0","0.3"
"Isaiah Hodgins","NYG","WR173","0.0","0.0","0.0","0.1","1.5","0.0","0.0","0.3"
"Jerome Ford","WAS","RB119","0.5","1.9","0.0","0.1","0.4","0.0","0.0","0.3"
"David Sills V","TB","WR174","0.0","0.0","0.0","0.1","1.5","0.0","0.0","0.3"
"Blake Whiteheart","CLE","TE107","0.0","0.0","0.0","0.2","1.5","0.0","0.0","0.3"
"Jalen Brooks","ARI","WR175","0.0","0.0","0.0","0.1","1.8","0.0","0.0","0.3"
"Kameron Johnson","TB","WR176","0.1","0.4","0.0","0.1","1.2","0.0","0.0","0.3"
"Terion Stewart","KC","RB120","0.0","0.0","0.0","0.2","1.6","0.0","0.0","0.3"
"Cody White","SEA","WR177","0.0","0.0","0.0","0.1","1.6","0.0","0.0","0.2"
"Michael Carter","TEN","RB121","0.2","0.8","0.0","0.1","0.9","0.0","0.0","0.2"
"Xavier Restrepo","TEN","WR178","0.0","0.1","0.0","0.1","1.4","0.0","0.0","0.2"
"Devin Culp","TB","TE108","0.0","0.0","0.0","0.1","1.2","0.0","0.0","0.2"
"Tylan Wallace","CLE","WR179","0.0","0.0","0.0","0.1","1.3","0.0","0.0","0.2"
"Arian Smith","NYJ","WR180","0.1","0.8","0.0","0.1","0.8","0.0","0.0","0.2"
"Ben Yurosek","MIN","TE109","0.0","0.0","0.0","0.2","1.1","0.0","0.0","0.2"
"Chris Manhertz","NYG","TE110","0.0","0.0","0.0","0.1","1.2","0.0","0.0","0.2"
"Stone Smartt","PHI","TE111","0.0","0.0","0.0","0.1","1.2","0.0","0.0","0.2"
"Ameer Abdullah","JAC","RB122","0.1","0.6","0.0","0.1","0.5","0.0","0.0","0.2"
"Chris Moore","BAL","WR181","0.0","0.1","0.0","0.1","1.2","0.0","0.0","0.2"
"Jamal Haynes","CIN","RB123","0.3","1.1","0.0","0.0","0.4","0.0","0.0","0.2"
"Dameon Pierce","PHI","RB124","0.3","1.3","0.0","0.0","0.2","0.0","0.0","0.2"
"Max Bredeson","MIN","RB125","0.0","0.2","0.0","0.1","0.9","0.0","0.0","0.2"
"Quintin Morris","JAC","TE112","0.0","0.0","0.0","0.1","1.0","0.0","0.0","0.2"
"Jarquez Hunter","LAR","RB126","0.3","1.4","0.0","0.1","0.2","0.0","0.0","0.2"
"Jordan Watkins","SF","WR182","0.0","0.0","0.0","0.1","1.1","0.0","0.0","0.2"
"Kalel Mullings","TEN","RB127","0.2","0.7","0.0","0.1","0.5","0.0","0.0","0.2"
"Trent Sherfield Sr.","BUF","WR183","0.0","0.0","0.0","0.1","1.0","0.0","0.0","0.2"
"Mecole Hardman Jr.","BUF","WR184","0.0","0.0","0.0","0.1","1.3","0.0","0.0","0.2"
"Emmanuel Henderson Jr.","SEA","WR185","0.0","0.0","0.0","0.1","1.3","0.0","0.0","0.2"
"Will Mallory","IND","TE113","0.0","0.0","0.0","0.1","1.3","0.0","0.0","0.2"
"Patrick Ricard","NYG","RB128","0.0","0.0","0.0","0.1","0.9","0.0","0.0","0.2"
"Julius Chestnut","TEN","RB129","0.2","0.8","0.0","0.0","0.4","0.0","0.0","0.2"
"Ronnie Rivers","LAR","RB130","0.3","1.1","0.0","0.0","0.2","0.0","0.0","0.2"
"British Brooks","HOU","RB131","0.3","1.1","0.0","0.0","0.0","0.0","0.0","0.2"
"Dareke Young","LV","WR186","0.0","0.0","0.0","0.1","1.0","0.0","0.0","0.2"
"Devin Neal","NO","RB132","0.2","0.6","0.0","0.1","0.6","0.0","0.0","0.2"
"Ko Kieft","TB","TE114","0.0","0.0","0.0","0.1","0.8","0.0","0.0","0.2"
"Jacardia Wright","SEA","RB133","0.3","1.0","0.0","0.0","0.2","0.0","0.0","0.2"
"Isaac Guerendo","SF","RB134","0.2","0.9","0.0","0.1","0.5","0.0","0.0","0.2"
"Lucas Krull","DEN","TE115","0.0","0.0","0.0","0.1","0.9","0.0","0.0","0.2"
"Kylen Granson","TEN","TE116","0.0","0.0","0.0","0.1","1.1","0.0","0.0","0.2"
"Damien Martinez","GB","RB135","0.1","0.6","0.0","0.1","0.4","0.0","0.0","0.2"
"LaJohntay Wester","BAL","WR187","0.0","0.1","0.0","0.1","0.9","0.0","0.0","0.1"
"Elijah Moore","PHI","WR188","0.1","0.9","0.0","0.0","0.5","0.0","0.0","0.1"
"Noah Whittington","HOU","RB136","0.0","0.0","0.0","0.1","0.9","0.0","0.0","0.1"
"AJ Dillon","CAR","RB137","0.1","0.4","0.0","0.1","0.5","0.0","0.0","0.1"
"Skyy Moore","GB","WR189","0.0","0.2","0.0","0.1","0.9","0.0","0.0","0.1"
"Efton Chism III","NE","WR190","0.0","0.0","0.0","0.1","0.9","0.0","0.0","0.1"
"Devin Duvernay","ARI","WR191","0.0","0.1","0.0","0.1","0.7","0.0","0.0","0.1"
"Jack Velling","ATL","TE117","0.0","0.0","0.0","0.0","0.7","0.0","0.0","0.1"
"Anthony Gould","IND","WR192","0.0","0.1","0.0","0.1","0.7","0.0","0.0","0.1"
"Tyler Johnson","DAL","WR193","0.0","0.0","0.0","0.0","0.7","0.0","0.0","0.1"
"Dean Connors","LAR","RB138","0.1","0.5","0.0","0.0","0.3","0.0","0.0","0.1"
"Dallen Bentley","DEN","TE118","0.0","0.0","0.0","0.1","0.7","0.0","0.0","0.1"
"Chase Roberts","LV","WR194","0.0","0.0","0.0","0.0","0.7","0.0","0.0","0.1"
"Trebor Pena","JAC","WR195","0.0","0.0","0.0","0.0","0.6","0.0","0.0","0.1"
"Shane Zylstra","BUF","TE119","0.0","0.0","0.0","0.0","0.6","0.0","0.0","0.1"
"Dante Pettis","BUF","WR196","0.0","0.0","0.0","0.0","0.6","0.0","0.0","0.1"
"Bam Knight","ARI","RB139","0.0","0.0","0.0","0.1","0.6","0.0","0.0","0.1"
"Frank Gore Jr.","BUF","RB140","0.2","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Brevin Jordan","HOU","TE120","0.0","0.0","0.0","0.1","0.6","0.0","0.0","0.1"
"Charlie Jones","CIN","WR197","0.0","0.0","0.0","0.1","0.5","0.0","0.0","0.1"
"Tyrell Shavers","BUF","WR198","0.0","0.0","0.0","0.1","0.7","0.0","0.0","0.1"
"Scott Matlock","LAC","DT1","0.0","0.0","0.0","0.1","0.4","0.0","0.0","0.1"
"Zamir White","NO","RB141","0.2","0.9","0.0","0.0","0.0","0.0","0.0","0.1"
"DeeJay Dallas","JAC","RB142","0.1","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
"Van Jefferson","WAS","WR199","0.0","0.0","0.0","0.0","0.6","0.0","0.0","0.1"
"Hunter Long","JAC","TE121","0.0","0.0","0.0","0.1","0.5","0.0","0.0","0.1"
"Nikko Remigio","KC","WR200","0.0","0.1","0.0","0.0","0.5","0.0","0.0","0.1"
"Deven Thompkins","LV","WR201","0.0","0.0","0.0","0.1","0.4","0.0","0.0","0.1"
"Casey Washington","CAR","WR202","0.0","0.0","0.0","0.0","0.6","0.0","0.0","0.1"
"Tom Kennedy","DET","WR203","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.1"
"Cameron Latu","PHI","TE122","0.0","0.0","0.0","0.0","0.4","0.0","0.0","0.1"
"Kene Nwangwu","NYJ","RB143","0.1","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Jelani Woods","NYJ","TE123","0.0","0.0","0.0","0.1","0.3","0.0","0.0","0.1"
"Jalin Hyatt","NYG","WR204","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.1"
"Jaydn Ott","KC","RB144","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.1"
"Theo Wease Jr.","MIA","WR205","0.0","0.0","0.0","0.0","0.4","0.0","0.0","0.0"
"Gage Larvadain","CLE","WR206","0.0","0.0","0.0","0.0","0.3","0.0","0.0","0.0"
"Ricky White III","SEA","WR207","0.0","0.0","0.0","0.0","0.3","0.0","0.0","0.0"
"Feleipe Franks","CAR","QB1","0.0","0.2","0.0","0.0","0.1","0.0","0.0","0.0"
"Zavier Scott","MIN","RB145","0.1","0.2","0.0","0.0","0.1","0.0","0.0","0.0"
"Terrace Marshall Jr.","MIA","WR208","0.0","0.0","0.0","0.0","0.3","0.0","0.0","0.0"
"Trey Palmer","NO","WR209","0.0","0.0","0.0","0.0","0.3","0.0","0.0","0.0"
"Robert Tonyan","PIT","TE124","0.0","0.0","0.0","0.0","0.2","0.0","0.0","0.0"
"David Moore","CAR","WR210","0.0","0.0","0.0","0.0","0.2","0.0","0.0","0.0"
"Britain Covey","PHI","WR211","0.0","0.0","0.0","0.0","0.2","0.0","0.0","0.0"
"Noah Thomas","CIN","WR212","0.0","0.0","0.0","0.0","0.2","0.0","0.0","0.0"
"Jacob Cowing","SF","WR213","0.0","0.0","0.0","0.0","0.2","0.0","0.0","0.0"
"Brandon Aiyuk","SF","WR214","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0"
"Braxton Berrios","NYG","WR215","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Myles Price","MIN","WR216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Laquon Treadwell","IND","WR217","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gunner Olszewski","NYG","WR218","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Kinsey","TEN","WR219","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Austin Trammell","JAC","WR220","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Bandy","DEN","WR221","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Xavier Weaver","ARI","WR222","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dylan Drummond","ATL","WR223","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jeshaun Jones","MIN","WR224","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Williams","CIN","WR225","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Brazzell II","CAR","WR226","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Saylors","DET","RB146","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Collier","LV","RB147","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Williams","TB","RB148","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cole Turner","MIA","TE125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Julian Hill","NE","TE126","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
